Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size,TTL,TCP Flags,Payload Size,Attack Type,Interarrival Time,Packet Count
1743689378.3980296,192.168.68.99,192.168.233.27,17,53,36495,554,64,None,2,Normal,0.0,215
1743689378.3980296,192.168.68.99,192.168.233.27,17,53,36495,540,64,None,512,UDP Flood,0.0,216
1743689378.4147093,192.168.68.99,192.168.233.27,17,53,38663,554,64,None,2,Normal,0.016679763793945312,217
1743689378.4147093,192.168.68.99,192.168.233.27,17,53,38663,540,64,None,512,UDP Flood,0.0,218
1743689378.4198322,192.168.68.99,192.168.233.27,17,53,39484,554,64,None,2,Normal,0.0051229000091552734,219
1743689378.4222462,192.168.68.99,192.168.233.27,17,53,39484,540,64,None,512,UDP Flood,0.0024139881134033203,220
1743689378.4265575,192.168.68.99,192.168.233.27,17,53,56174,554,64,None,2,Normal,0.004311323165893555,221
1743689378.4273317,192.168.68.99,192.168.233.27,17,53,56174,540,64,None,512,UDP Flood,0.0007741451263427734,222
1743689378.4306033,192.168.68.99,192.168.233.27,17,53,56105,554,64,None,2,Normal,0.0032715797424316406,223
1743689378.4306033,192.168.68.99,192.168.233.27,17,53,56105,540,64,None,512,UDP Flood,0.0,224
1743689378.4306033,192.168.68.99,192.168.233.27,17,53,40990,554,64,None,2,Normal,0.0,225
1743689378.4306033,192.168.68.99,192.168.233.27,17,53,40990,540,64,None,512,UDP Flood,0.0,226
1743689378.4306033,192.168.68.99,192.168.233.27,17,53,17995,554,64,None,2,Normal,0.0,227
1743689378.4306033,192.168.68.99,192.168.233.27,17,53,17995,540,64,None,512,UDP Flood,0.0,228
1743689378.4457138,192.168.68.99,192.168.233.27,17,53,9868,554,64,None,2,Normal,0.015110492706298828,229
1743689378.4457138,192.168.68.99,192.168.233.27,17,53,9868,540,64,None,512,UDP Flood,0.0,230
1743689378.4457138,192.168.68.99,192.168.233.27,17,53,62109,554,64,None,2,Normal,0.0,231
1743689378.4457138,192.168.68.99,192.168.233.27,17,53,62109,540,64,None,512,UDP Flood,0.0,232
1743689378.4457138,192.168.68.99,192.168.233.27,17,53,22788,554,64,None,2,Normal,0.0,233
1743689378.4457138,192.168.68.99,192.168.233.27,17,53,22788,540,64,None,512,UDP Flood,0.0,234
1743689378.4614518,192.168.68.99,192.168.233.27,17,53,43579,554,64,None,2,Normal,0.01573801040649414,235
1743689378.4614518,192.168.68.99,192.168.233.27,17,53,43579,540,64,None,512,UDP Flood,0.0,236
1743689378.4614518,192.168.68.99,192.168.233.27,17,53,21651,554,64,None,2,Normal,0.0,237
1743689378.4740496,192.168.68.99,192.168.233.27,17,53,21651,540,64,None,512,UDP Flood,0.012597799301147461,238
1743689378.477665,192.168.68.99,192.168.233.27,17,53,28836,554,64,None,2,Normal,0.0036153793334960938,239
1743689378.477665,192.168.68.99,192.168.233.27,17,53,28836,540,64,None,512,UDP Flood,0.0,240
1743689378.477665,192.168.68.99,192.168.233.27,17,53,50024,554,64,None,2,Normal,0.0,241
1743689378.477665,192.168.68.99,192.168.233.27,17,53,50024,540,64,None,512,UDP Flood,0.0,242
1743689378.477665,192.168.68.99,192.168.233.27,17,53,41461,554,64,None,2,Normal,0.0,243
1743689378.477665,192.168.68.99,192.168.233.27,17,53,41461,540,64,None,512,UDP Flood,0.0,244
1743689378.4934006,192.168.68.99,192.168.233.27,17,53,25272,554,64,None,2,Normal,0.015735626220703125,245
1743689378.4934006,192.168.68.99,192.168.233.27,17,53,25272,540,64,None,512,UDP Flood,0.0,246
1743689378.4934006,192.168.68.99,192.168.233.27,17,53,59886,554,64,None,2,Normal,0.0,247
1743689378.4934006,192.168.68.99,192.168.233.27,17,53,59886,540,64,None,512,UDP Flood,0.0,248
1743689378.4934006,192.168.68.99,192.168.233.27,17,53,8092,554,64,None,2,Normal,0.0,249
1743689378.4934006,192.168.68.99,192.168.233.27,17,53,8092,540,64,None,512,UDP Flood,0.0,250
1743689378.5096776,192.168.68.99,192.168.233.27,17,53,56181,554,64,None,2,Normal,0.016277074813842773,251
1743689378.5096776,192.168.68.99,192.168.233.27,17,53,56181,540,64,None,512,UDP Flood,0.0,252
1743689378.516013,192.168.68.99,192.168.233.27,17,53,44831,554,64,None,2,Normal,0.006335258483886719,253
1743689378.5164766,192.168.68.99,192.168.233.27,17,53,44831,540,64,None,512,UDP Flood,0.00046372413635253906,254
1743689378.5203583,192.168.68.99,192.168.233.27,17,53,10910,554,64,None,2,Normal,0.003881692886352539,255
1743689378.5214138,192.168.68.99,192.168.233.27,17,53,10910,540,64,None,512,UDP Flood,0.0010554790496826172,256
